correspondence_id,historical_record_id,historical_form_diplomatic,historical_matched_component,historical_printed_page,historical_graphic_key,modern_record_id,modern_headword,modern_matched_component,modern_graphic_key,modern_classification,modern_translation_raw,modern_source_code,edit_distance,similarity,relation_type,candidate_status,modern_commit,human_reviewed,review_decision
RHD-PCORR-000023,RHD-S1809-01665,Bajé,Bajé,354,baje,RD-000158,Bají,Bají,baji,Vi,"Tomar, beber (tesgüino, agua)",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000024,RHD-S1809-01665,Bajé,Bajé,354,baje,RD-000177,Bané,Bané,bane,Vi,Tener mejillas.,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000025,RHD-S1809-01665,Bajé,Bajé,354,baje,RD-000192,Baré,Baré,bare,S,Cura,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000026,RHD-S1809-01668,Baiſſá,Baiſſá,354,baissa,RD-000155,Baisá,Baisá,baisa,Adv,Tercero,SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000027,RHD-S1809-01675,Balſi,Balſi,354,balsi,RD-000198,Basi,Basi,basi,S,"Taza, vaso",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000028,RHD-S1809-01679,Baſſu,Baſſu,354,bassu,RD-000206,Basú,Basú,basu,Vi,"Cocer, hervir",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000029,RHD-S1809-01679,Baſſu,Baſſu,354,bassu,RD-000207,Basú,Basú,basu,,Derretir,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000030,RHD-S1809-01680,Batáni,Batáni,354,batani,RD-000210,Batari,Batari,batari,S,Tesgüino,SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000031,RHD-S1809-01681,Batſá,Batſá,354,batsa,RD-000155,Baisá,Baisá,baisa,Adv,Tercero,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000032,RHD-S1809-01681,Batſá,Batſá,354,batsa,RD-000195,Basá,Basá,basa,Vt,Apedrear,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000033,RHD-S1809-01683,Báſſa,Báſſa,354,bassa,RD-000155,Baisá,Baisá,baisa,Adv,Tercero,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
