correspondence_id,historical_record_id,historical_form_diplomatic,historical_matched_component,historical_printed_page,graphic_key,modern_record_id,modern_headword,modern_headword_raw,modern_headword_normalized,modern_matched_component,modern_homonym_number,modern_classification,modern_translation_raw,modern_source_code,relation_type,candidate_status,modern_candidates_for_key,short_form_warning,modern_commit,human_reviewed,review_decision
RHD-CORR-000035,RHD-S1809-02203,Pugué,Pugué,364,pugue,RD-001857,Pugué,Pugué,pugue,Pugué,,Vt pl,"Tener, poseer (muchos animales)",SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000036,RHD-S1809-02228,Raná,Raná,364,rana,RD-001932,Raná,Raná,rana,Raná,,,1. vt Parir 2. s Hijo,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000037,RHD-S1809-02229,"Ráje, oder táje",Ráje,364,raje,RD-001923,Rajé,Rajé,raje,Rajé,,Vt,Encender ocote (para alumbrar),SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000038,RHD-S1809-02248,Róco,Róco,365,roco,RD-002110,Rocó,Rocó,roco,Rocó,,Vi,Estar hondo,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000039,RHD-S1809-02250,Ropá,Ropá,365,ropa,RD-002164,Ropá,Ropá,ropa,Ropá,,S,Estómago,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000040,RHD-S1809-02284,Simi,Simi,365,simi,RD-002301,Simí,1Simí,simi,Simí,1,Vi sg,Irse,SRC-02,exact_normalized_graphic_match,machine_candidate,2,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000041,RHD-S1809-02284,Simi,Simi,365,simi,RD-002302,Simí,2Simí,simi,Simí,2,Vi sg,Caminar,SRC-02,exact_normalized_graphic_match,machine_candidate,2,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000042,RHD-S1809-02290,Sisí,Sisí,365,sisi,RD-002349,Sisí,Sisí,sisi,Sisí,,Imper,¡Vénganse!,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000043,RHD-S1809-02331,"Taná, oder raná",Taná,366,tana,RD-002448,Tana,Tana,tana,Tana,,Vt,Pedir,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000044,RHD-S1809-02331,"Taná, oder raná",raná,366,rana,RD-001932,Raná,Raná,rana,Raná,,,1. vt Parir 2. s Hijo,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000045,RHD-S1809-02333,Taní,Taní,366,tani,RD-002451,Tani,Tani,tani,Tani,,Vt,Rogar,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000046,RHD-S1809-02335,Tará,Tará,366,tara,RD-002453,Tará,Tará,tara,Tará,,Vt,Contar,SRC-02,exact_normalized_graphic_match,machine_candidate,1,false,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000047,RHD-S1809-02350,Té,Té,366,te,RD-002462,Te,Te,te,Te,,Vi,"Tejer, extender (hilos para tejer)",SRC-02,exact_normalized_graphic_match,machine_candidate,1,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000048,RHD-S1809-02401,Tó,Tó,367,to,RD-002489,To,1To,to,To,1,Vt,"Llevar, tomar",SRC-02,exact_normalized_graphic_match,machine_candidate,2,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000049,RHD-S1809-02401,Tó,Tó,367,to,RD-002490,To,2To,to,To,2,Vt,Enterrar,SRC-02,exact_normalized_graphic_match,machine_candidate,2,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-CORR-000050,RHD-S1809-02491,Upi,Upi,368,upi,RD-002539,Upí,Upí,upi,Upí,,S sing,Esposa,SRC-02,exact_normalized_graphic_match,machine_candidate,1,true,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
