attestation_id,de_rar_record_id,de_rar_headword_diplomatic,de_rar_printed_page,rar_de_record_id,rar_de_component_index,rar_de_form_diplomatic,rar_de_german_gloss_local,rar_de_printed_page,graphic_key,short_form_warning,reciprocal_german_support,reciprocal_support_type,human_reviewed
RHD-IATT-000746,RHD-S1809-01261,Stäupen,344,RHD-S1809-01837,1,Guechpiſóco,"Peitſchen, geißeln",357,guechpisoco,False,False,none,False
RHD-IATT-000747,RHD-S1809-01262,Stecken,344,RHD-S1809-01761,1,Cusíki,"Holz, Stab, Stecken, Prügel",356,cusiki,False,True,german_headword_gloss_containment,False
RHD-IATT-000748,RHD-S1809-01263,Stehen,344,RHD-S1809-01812,1,Gatiki,"oder gatiki, Wohnen, ſich wo befinden, ſeyn, ſ",357,gatiki,False,False,none,False
RHD-IATT-000749,RHD-S1809-01263,Stehen,344,RHD-S1809-01912,1,Ibe,Da,358,ibe,True,False,none,False
RHD-IATT-000750,RHD-S1809-01263,Stehen,344,RHD-S1809-02482,1,Uilí,Stehen bleiben,368,uili,False,True,german_headword_gloss_containment,False
RHD-IATT-000751,RHD-S1809-01264,Stehlen,344,RHD-S1809-01933,1,Itschiguá,Stehlen,359,itschigua,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000752,RHD-S1809-01265,Steig,344,RHD-S1809-02199,1,Poveke,"Steig, gebahnter Weg",364,poveke,False,True,german_headword_gloss_containment,False
RHD-IATT-000753,RHD-S1809-01266,Steigen,344,RHD-S1809-02284,1,Simi,Gehen,365,simi,False,False,none,False
RHD-IATT-000754,RHD-S1809-01266,Steigen,344,RHD-S1809-02381,1,Tepá,"oder repá, Oben",367,tepa,False,False,none,False
RHD-IATT-000755,RHD-S1809-01267,Stein,344,RHD-S1809-02363,1,Tele,Unten,366,tele,False,False,none,False
RHD-IATT-000756,RHD-S1809-01270,Steineiche,344,RHD-S1809-02246,1,Roháca,Eiche,365,rohaca,False,False,none,False
RHD-IATT-000757,RHD-S1809-01271,Stempel,344,RHD-S1809-02028,1,Muliki,"Stempel, Stößel",361,muliki,False,True,german_headword_gloss_containment,False
RHD-IATT-000758,RHD-S1809-01273,Sterben,344,RHD-S1809-02036,1,Mukúameke,Todt,361,mukuameke,False,False,none,False
RHD-IATT-000759,RHD-S1809-01273,Sterben,344,RHD-S1809-02037,1,Mukúku,Sterben,361,mukuku,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000760,RHD-S1809-01281,Stinken,344,RHD-S1809-02431,1,Tschipú,Stinken,368,tschipu,False,True,exact_normalized_german_headword_gloss_match,False
