triage_id,source_candidate_id,de_rar_record_id,de_rar_headword_diplomatic,candidate_span_diplomatic,graphic_key,printed_page,profile_class,machine_signal_confidence,review_priority_tier,profile_log_likelihood_ratio,german_anchor_token_ratio,nearest_rar_de_graphic_key,nearest_rar_de_edit_distance,nearest_rar_de_similarity,human_reviewed,decision
RHD-RTRI-001324,RHD-RSPAN-000081,RHD-S1809-00120,Armbruſt,zugeſchnittenen,zugeschnittenen,304,german_context_profile_signal,high_machine_context_signal,4,-1.7447,0.0,,,0.0,False,not_assessed
RHD-RTRI-001325,RHD-RSPAN-001085,RHD-S1809-01277,Sterblich,unvergänglich,unverganglich,344,german_context_profile_signal,high_machine_context_signal,4,-1.7508,0.0,,,0.0,False,not_assessed
RHD-RTRI-001326,RHD-RSPAN-000252,RHD-S1809-00331,Dieſer,Eben dieſer,eben dieser,312,german_context_profile_signal,high_machine_context_signal,4,-1.7533,1.0,echsamela,5,0.545,False,not_assessed
RHD-RTRI-001327,RHD-RSPAN-000388,RHD-S1809-00490,Feſt,Feſtmachen,festmachen,316,german_context_profile_signal,high_machine_context_signal,4,-1.7534,0.0,,,0.0,False,not_assessed
RHD-RTRI-001328,RHD-RSPAN-000551,RHD-S1809-00702,Herzunahen,herbeytreten,herbeytreten,324,german_context_profile_signal,high_machine_context_signal,4,-1.756,1.0,haagameke,5,0.583,False,not_assessed
RHD-RTRI-001329,RHD-RSPAN-001405,RHD-S1809-01594,Zerhauen,Zerhauenes,zerhauenes,352,german_context_profile_signal,high_machine_context_signal,4,-1.764,1.0,,,0.0,False,not_assessed
RHD-RTRI-001330,RHD-RSPAN-000030,RHD-S1809-00063,Abſchneiden,abhauen,abhauen,301,german_context_profile_signal,high_machine_context_signal,4,-1.7643,1.0,aregue,4,0.429,False,not_assessed
RHD-RTRI-001331,RHD-RSPAN-001439,RHD-S1809-01620,Zunder,Schwamm,schwamm,352,german_context_profile_signal,high_machine_context_signal,4,-1.7676,1.0,schine,4,0.429,False,not_assessed
RHD-RTRI-001332,RHD-RSPAN-000285,RHD-S1809-00369,Ehe,Heurathen,heurathen,313,german_context_profile_signal,high_machine_context_signal,4,-1.7689,1.0,haagameke,5,0.444,False,not_assessed
RHD-RTRI-001333,RHD-RSPAN-000345,RHD-S1809-00444,Erſchrecken,Erſchreckt,erschreckt,315,german_context_profile_signal,high_machine_context_signal,4,-1.776,0.0,echsamela,5,0.5,False,not_assessed
RHD-RTRI-001334,RHD-RSPAN-000329,RHD-S1809-00414,Ente,Kohl,kohl,314,german_context_profile_signal,high_machine_context_signal,4,-1.7793,0.0,kake,3,0.25,False,not_assessed
RHD-RTRI-001335,RHD-RSPAN-000109,RHD-S1809-00167,Balgen,ſich,sich,306,german_context_profile_signal,high_machine_context_signal,4,-1.7841,1.0,s-ca,2,0.5,False,not_assessed
RHD-RTRI-001336,RHD-RSPAN-001220,RHD-S1809-01445,Verleihen,ſich,sich,348,german_context_profile_signal,high_machine_context_signal,4,-1.7841,1.0,s-ca,2,0.5,False,not_assessed
RHD-RTRI-001337,RHD-RSPAN-000510,RHD-S1809-00644,Gries,brennende Gegenden reuten,brennende gegenden reuten,322,german_context_profile_signal,high_machine_context_signal,4,-1.7842,0.0,,,0.0,False,not_assessed
RHD-RTRI-001338,RHD-RSPAN-001258,RHD-S1809-01480,Viel,oft,oft,348,german_context_profile_signal,high_machine_context_signal,4,-1.7876,1.0,oca,2,0.333,False,not_assessed
RHD-RTRI-001339,RHD-RSPAN-000711,RHD-S1809-00856,Lang,längſt,langst,328,german_context_profile_signal,high_machine_context_signal,4,-1.796,0.0,laca,4,0.333,False,not_assessed
RHD-RTRI-001340,RHD-RSPAN-000307,RHD-S1809-00397,Einkehren,Einmal,einmal,314,german_context_profile_signal,high_machine_context_signal,4,-1.7966,1.0,ela,4,0.333,False,not_assessed
RHD-RTRI-001341,RHD-RSPAN-000131,RHD-S1809-00194,Bedecken,Bedeckt,bedeckt,308,german_context_profile_signal,high_machine_context_signal,4,-1.8067,1.0,babali,5,0.286,False,not_assessed
RHD-RTRI-001342,RHD-RSPAN-001424,RHD-S1809-01607,Zimmer,zeigt,zeigt,352,german_context_profile_signal,high_machine_context_signal,4,-1.8114,0.0,,,0.0,False,not_assessed
