recovery_id,graphic_key,surface_forms,occurrence_count,distinct_de_rar_record_count,de_rar_headwords,printed_pages,best_profile_class,best_profile_log_likelihood_ratio,nearest_rar_de_graphic_key,nearest_rar_de_similarity,evidence_grade,human_reviewed,decision
RHD-RREC-000043,thulameke,Thulämeke | Thúlameke,2,2,Froſtig | Kalt,319 | 326,strong_raramuri_profile_signal,1.8939,thulaneke,0.889,A_machine_documentary_signal,False,not_assessed
RHD-RREC-000044,tschepi,Tſchepi,2,2,Anfaſſen | Ergreifen,302 | 315,strong_raramuri_profile_signal,1.767,tschapi,0.857,A_machine_documentary_signal,False,not_assessed
RHD-RREC-000045,pemole,Pemolé,2,2,Dunſt | Dünſten,313,strong_raramuri_profile_signal,1.7415,peimole,0.857,A_machine_documentary_signal,False,not_assessed
RHD-RREC-000046,batla,Batlá,2,2,Vor | Voraus,349,strong_raramuri_profile_signal,1.722,bala,0.8,A_machine_documentary_signal,False,not_assessed
RHD-RREC-000047,teeke,Teéke,2,2,Klippe | Stein,326 | 344,strong_raramuri_profile_signal,1.6796,teeje,0.8,A_machine_documentary_signal,False,not_assessed
RHD-RREC-000048,matschigameke,Matſchigameke,5,5,Bewußt | Erfahren | Gelehrt | Klug | Verſtändig,309 | 315 | 320 | 326 | 348,strong_raramuri_profile_signal,1.9891,massisipoa,0.615,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000049,napabu,Napabú,5,5,Anhäufen | Mehren | Sammeln | Vermehren | Verſammeln,302 | 331 | 338 | 348,strong_raramuri_profile_signal,1.8747,napa,0.667,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000050,reguiguiki,Reguiguiki | Reguiguíki | Reguigúiki,4,4,Anhöhe | Berg | Gebirg | Hügel,302 | 308 | 319 | 325,strong_raramuri_profile_signal,2.5418,r-guala,0.5,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000051,naiki,Naiki | Náiki,3,3,Brunſt | Feuer | Glut,311 | 317 | 322,strong_raramuri_profile_signal,2.6228,nachki,0.667,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000052,tessigua,Teſſiguá,3,3,Betheuren | Betrübt ſeyn | Wehe thun,309 | 350,strong_raramuri_profile_signal,2.0182,t-fligua,0.625,B_machine_documentary_signal,False,not_assessed
