recovery_id,graphic_key,surface_forms,occurrence_count,distinct_de_rar_record_count,de_rar_headwords,printed_pages,best_profile_class,best_profile_log_likelihood_ratio,nearest_rar_de_graphic_key,nearest_rar_de_similarity,evidence_grade,human_reviewed,decision
RHD-RREC-000147,tschochco,Tſchochcò,1,1,Knie,326,strong_raramuri_profile_signal,1.9831,tschoche,0.778,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000148,pilepitsu,pilépitsu,1,1,Allein,301,strong_raramuri_profile_signal,1.9774,pilepitso,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000149,guessa,Gueſſá,1,1,Oft,334,strong_raramuri_profile_signal,1.9696,guossa,0.833,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000150,naguesla,Nagueſlá,1,1,Verkündigen,348,strong_raramuri_profile_signal,1.9631,naguella,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000151,ajaruje,Ajáruje,1,1,Verbittern,347,strong_raramuri_profile_signal,1.9613,ajoruje,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000152,mahajameke,Mahajámeke,1,1,Furchtſam,319,strong_raramuri_profile_signal,1.9523,mukijameke,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000153,tschucucu,Tſchucúcu,1,1,Kriechen,327,strong_raramuri_profile_signal,1.95,tschucu,0.778,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000154,cau mukila,Caú mukíla,1,1,Stute,345,strong_raramuri_profile_signal,1.9366,cauguila,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000155,tichulugui,Tichulugui,1,1,Vogel,349,strong_raramuri_profile_signal,1.9323,tschulugui,0.9,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000156,tschiri,Tſchirí,1,1,Seidenzeug,340,strong_raramuri_profile_signal,1.9238,tschini,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000157,sakiameke,Sakiameke,1,1,Dürr,313,strong_raramuri_profile_signal,1.9192,samiameke,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000158,ajo-noco,Ajo-nóco,1,1,Unwillig ſeyn,347,strong_raramuri_profile_signal,1.9187,ajonoco,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000159,te nalcali,Te nalcáli,1,1,Schwißſtube,340,strong_raramuri_profile_signal,1.9007,tomalcali,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000160,rolacameke,Rolácameke,1,1,Weiß,350,strong_raramuri_profile_signal,1.8999,rosacameke,0.9,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000161,sauguiba,Sauguiba,1,1,Geneſen,320,strong_raramuri_profile_signal,1.8869,sauguera,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000162,nalsinaja,Nalſinaja,1,1,Müßig,332,strong_raramuri_profile_signal,1.8811,nassinaja,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000163,tschachaca,Tſchacháca,1,1,Staar,343,strong_raramuri_profile_signal,1.88,tschacheaca,0.909,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000164,tschorike pauguila,Tſchorike Pauguila,1,1,Suppe,345,strong_raramuri_profile_signal,1.8785,tlestataccameke,0.722,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000165,natejui,Natejui,1,1,Bezahlung,309,strong_raramuri_profile_signal,1.8774,nategui,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000166,ta taralati,Tá tarálati,1,1,Unzahlbar,347,strong_raramuri_profile_signal,1.8683,taralati,0.727,B_machine_documentary_signal,False,not_assessed
