source_ocr_line,direction,printed_page,pdf_page,text
794,DE-RAR,303,13,fen. Wer ſich auf die Reife 
795,DE-RAR,303,13,"begab, konnte ſich einbilden, "
796,DE-RAR,303,13,daß er ſeine Behauſung nicht 
797,DE-RAR,303,13,mehe ſehen werde. Daher 
800,DE-RAR,303,13,"reiſete niemand, ohne mit "
801,DE-RAR,303,13,einem guten P 
802,DE-RAR,303,13,mit allerhand Waffen ver⸗ 
803,DE-RAR,303,13,ſehen zu ſeyn. Ein Reifen: 
806,DE-RAR,303,13,der hatte gemeiniglich vier 
809,DE-RAR,303,13,"Piſtolen, uͤber dem Sattel⸗ "
810,DE-RAR,303,13,"knopf eine Flinte, in der "
813,DE-RAR,304,14,"Hand einen langen Spieß, "
816,DE-RAR,304,14,an der Seite einen ſpani⸗ 
817,DE-RAR,304,14,"ſchen Saͤbel, nebſt einem "
818,DE-RAR,304,14,von groben Leder zweifach 
821,DE-RAR,304,14,"uͤberlegten Schild, um ſich "
824,DE-RAR,304,14,ſammt ſeinem Pferde wider 
825,DE-RAR,304,14,die Pfeile ſchuͤtzen zu koͤnnen. 
826,DE-RAR,304,14,"Unſere Tarahumaren, ob fie "
829,DE-RAR,304,14,gleich auch kriegeriſche Leute 
832,DE-RAR,304,14,"ſind, konnten ihnen doch "
833,DE-RAR,304,14,nicht gewachſen ſeyn. Oft 
834,DE-RAR,304,14,ſind ſie von ihnen mit vie⸗ 
835,DE-RAR,304,14,lem Verluſte in die Flucht 
838,DE-RAR,304,14,geſchlagen worden. Daher 
841,DE-RAR,304,14,ſie von der Furcht ſo Wr 
842,DE-RAR,304,14,"eingenommen find, daß, "
843,DE-RAR,304,14,wenn ſich nur ein einziger 
846,DE-RAR,304,14,Apatſche an der Hoͤhe des 
849,DE-RAR,304,14,Gebirges bei einer Reduk⸗ 
850,DE-RAR,304,14,"zion ſehen ließ, das ganze "
853,DE-RAR,304,14,Dorf in eine fuͤrchterliche 
856,DE-RAR,304,14,Unruhe verſetzt wurde wie 
859,DE-RAR,304,14,ich es ſelbſt erfahren habe. 
862,DE-RAR,304,14,"Es iſt zu beklagen, daß nicht "
863,DE-RAR,304,14,durch naͤchdruͤckliche Veran⸗ 
866,DE-RAR,304,14,ſtaltungen von hoͤheren 
869,DE-RAR,304,14,Orten dieſen Wuͤtrichen und 
872,DE-RAR,304,14,Landesverheerern engere 
873,DE-RAR,304,14,Graͤnzen ſind geſetzet wor⸗ 
876,DE-RAR,304,14,"den, da doch alle ihre Aus⸗ "
877,DE-RAR,304,14,"fälle, beſonders in dem ta⸗ "
878,DE-RAR,304,14,rahumariſchen hohen Ge⸗ 
879,DE-RAR,304,14,"birge, wohin ſie von ihren "
882,DE-RAR,304,14,Heimaten nur drey Paͤſſe 
885,DE-RAR,304,14,"oder Zugänge haben, durch "
888,DE-RAR,304,14,eine Beſatzung mit etlichen 
891,DE-RAR,304,14,dreiſig Soldaten haͤtten 
892,DE-RAR,304,14,koͤnnen gehemmt werden⸗ 
895,DE-RAR,304,14,Arbeit. 
898,DE-RAR,304,14,"ferde, und "
901,DE-RAR,304,14,304 
904,DE-RAR,304,14,"Arbeit. Tnoitsanali, oder noit- "
905,DE-RAR,304,14,fanali. Ä 1 
906,DE-RAR,304,14,"Arbeiten. Inoitsd, oder noit- "
907,DE-RAR,304,14,Sd. 
909,DE-RAR,304,14,2 arbeiten. Inoitsamela. 
910,DE-RAR,304,14,"Arm, duͤrftig. Telsiguati. "
911,DE-RAR,304,14,"Armbruſt, Ataca, haraca. Die⸗ "
912,DE-RAR,304,14,ſer Bogen beſtehet aus ei⸗ 
913,DE-RAR,304,14,"nem vom harten Holze, zu⸗ "
914,DE-RAR,304,14,"vor wohl gebaitzten, zuge⸗ "
915,DE-RAR,304,14,"ſchnittenen, an beiden En⸗ "
918,DE-RAR,304,14,"den geſpitzten, und durch⸗ "
921,DE-RAR,304,14,aus mit Nerven umwickelten 
922,DE-RAR,304,14,"Aſte, damit er eine rechte "
923,DE-RAR,304,14,"Schnellkraft habe, und nicht "
924,DE-RAR,304,14,ſo leicht zerbreche. Die Ta⸗ 
925,DE-RAR,304,14,rahumaren gebrauchen ſich 
926,DE-RAR,304,14,"groͤſſer r Bögen, und auch "
927,DE-RAR,304,14,"groͤſſerer Pfeile, als andere "
930,DE-RAR,304,14,„Nazionen. Beide find in 
933,DE-RAR,304,14,der Hand eines Indianers 
934,DE-RAR,304,14,ſehr fuͤrchterliche und ger 
935,DE-RAR,304,14,faͤhrliche Waffen. Ich will 
